identifier,description,academicSubject,inLanguage,dateCreated,dateModified,author,provider,license,attributionStatement
0013fbee-3e76-500f-9978-42aa1a65f105,Use conversions to solve multi-step real-world problems,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
0046446a-0a9b-5ace-92a3-23d4bb158c68,Determine the lateral surface area of three-dimensional cylinders in real-world problems,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
0070d7c9-1b68-571b-a80c-734c63df2bf6,Represent proportional relationships with equations,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00957766-f2c3-5aaa-b506-d40c58117cd5,Determine whether expressions are equivalent using concrete models,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00a1c9af-f71f-5e70-a3e0-65906fbea518,Use models to represent two-step multiplication problems within 100,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00a7a005-5e8a-5974-8922-14093dc9f934,Solve mathematical problems involving scale drawings,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00aa3348-8af1-5cc3-a2d8-27c0b2a5d296,Describe the rotations and reflections of an irregular polygon that maps the figure onto itself,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00bd6d06-fcfe-5ad1-a137-44f38c971bfe,Convert a measurement from a smaller unit to a larger unit within a system of measurement,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00c5755b-21fc-5b36-97ae-b14244747eb2,Mentally find 10 less than a given number without counting by ones,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00d897bf-a5e0-5251-8d2d-f14c4fb0568f,"Use the unit circle to express the values of sine, cosine, and tangent for π - x in terms of their values for x, where x is any real number",Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00f08b4d-704e-50c0-92bf-80f901bdbbe0,Find the arc length of a circle,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
00fb1ac7-062b-5072-9fb3-b8c81d994c56,"Compare two whole numbers up to 100,000",Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
0119f987-f1eb-59b5-ae44-5bbc8ca9635a,Represent whole numbers as lengths on a number line diagram,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
0130a087-3035-5a4c-9488-339c9a0e5bf5,Show that tiling and multiplication result in the same area for a rectangle with whole number side lengths,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
015ee824-246f-5d30-a269-d35b7a3670d3,"Given the graph of a function, determine the practical domain of the function as it relates to the numerical relationship it describes",Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
01603799-f30a-5408-8996-6e4269ba1ecb,Bisect an angle,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
019a93e7-1877-5e9b-b4b3-476f201fccc8,Fluently divide multi-digit whole numbers using the standard algorithm,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
01b92a76-0c59-58d7-a9fe-754791975b7b,Record decompositions of 10 using a drawing,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
01ce00a9-92f2-56f2-8c52-83e1904031b9,"Fluently subtract with 1,000 to solve two-step subtraction problems",Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
0213c6a8-5863-581e-ac02-a48230e6e7d6,"Use similarity to derive the fact that the length of the arc intercepted by an angle is proportional to the radius, identifying the constant of proportionality as the radian measure of the angle",Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
024981f2-6af0-5fd8-a5a4-f0f7973c2bbd,Know the number of days in a week,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
024f4fbf-e984-5112-9bb8-739b8c5500bb,Analyze a residual plot to determine the fit of a function model,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
027af5d2-4e6c-5a3c-8888-cdb53ea6ce49,"Interpret the product (a/b) × q as a parts of a partition of q into b equal parts, where q represents either a whole number or a fraction",Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
029248f4-70a2-5462-9380-51fb9af44304,Interpret multiplication as scaling (resizing) by comparing the size of a product to the size of one factor on the basis of the size of the other factor,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
029e11a6-43ba-50cb-8aab-0a205bd02e36,"Show measurement data by making a fractional line plot, where the horizontal scale is marked off in appropriate units (whole numbers, halves, or quarters)",Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
02a71000-c42d-5026-90a7-46e8d0b50fb3,Calculate probabilities from a two-way frequency table,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
02b908f8-03dc-59d9-902d-d41baa122591,Find the area of rectangles where dimensions are positive rational numbers,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
02ba3c2d-6a89-531d-85cb-0827ff101cac,Solve a simple system of a linear equation and a quadratic equation that defines a parabola in two variables algebraically,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
02dec193-73ff-5250-b8d1-ab2037f612dc,Apply the proportional relationship between the measure of the area of a sector of a circle and the area of the circle to solve mathematical problems,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
02f8e5a0-0089-568f-a25f-9a0f9e4694a9,Compose two-dimensional shapes based on given properties or attributes,Mathematics,en-US,2025-04-01,2025-04-01,Achievement Network,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received learning components under CC BY-4.0 from Achievement Network.
