identifier,caseIdentifierURI,caseIdentifierUUID,name,description,jurisdiction,academicSubject,inLanguage,adoptionStatus,dateCreated,dateModified,notes,author,provider,license,attributionStatement
2d08331b-3769-5b2b-981c-52b03c5e73d1,https://satchelcommons.com/ims/case/v1p0/CFDocuments/15efaf76-eb8f-11e9-9f9f-0242ac140002,15efaf76-eb8f-11e9-9f9f-0242ac140002,Colorado Academic Standards: Mathematics (2020),,Colorado,Mathematics,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
100073eb-b00c-5a4d-9c31-e55be9a30a60,https://satchelcommons.com/ims/case/v1p0/CFDocuments/c648c128-d7cb-11e8-824f-0242ac160002,c648c128-d7cb-11e8-824f-0242ac160002,Michigan K-12 Standards Mathematics,,Michigan,Mathematics,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
288bee17-c184-5697-a6bd-640f5952c45c,https://satchelcommons.com/ims/case/v1p0/CFDocuments/d3ef043f-ddf4-4712-ab31-b89be5065bfa,d3ef043f-ddf4-4712-ab31-b89be5065bfa,Michigan K-12 Standards for Social Studies,,Michigan,Social Studies,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
866fcb7a-bcb5-57d3-9efa-33d2c954e61f,https://satchelcommons.com/ims/case/v1p0/CFDocuments/c6488303-d7cb-11e8-824f-0242ac160002,c6488303-d7cb-11e8-824f-0242ac160002,Delaware English Language Arts/Literacy Standards (2010),,Delaware,English Language Arts,en-US,Implemented,,2025-02-06,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
221aef4a-d8f3-579e-9b6d-c721cd0ad059,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/57a98ac7-8878-4212-a321-94b9890bca02.json,57a98ac7-8878-4212-a321-94b9890bca02,English Language Arts (B.E.S.T.),English Language Arts (B.E.S.T.) Standards,Florida,English Language Arts,en-US,Implemented,,2023-06-15,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
2285de6d-451a-5d33-b85d-d424e9e44ca1,https://satchelcommons.com/ims/case/v1p0/CFDocuments/403a3677-0d14-497e-87b2-d34ab3e4c26e,403a3677-0d14-497e-87b2-d34ab3e4c26e,Nebraska's College and Career Ready Standards for Science 2017,,Nebraska,Science,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
43ab4db0-5e29-5cd1-945a-eb2b46f8aaed,https://satchelcommons.com/ims/case/v1p0/CFDocuments/043916c9-7084-4099-ae36-4407dab6caf3,043916c9-7084-4099-ae36-4407dab6caf3,Ohio Learning Standards for Social Studies,,Ohio,Social Studies,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
62701d79-9008-5c60-966c-6dc35754fd0b,https://satchelcommons.com/ims/case/v1p0/CFDocuments/9dba2994-518c-478b-aa94-3c0a9b6d544c,9dba2994-518c-478b-aa94-3c0a9b6d544c,Indiana Academic Standards for Mathematics (2023),,Indiana,Mathematics,en-US,Implemented,,2024-08-12,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
f2d35de2-a68f-58bd-9cbd-6e246fcfa4b0,https://satchelcommons.com/ims/case/v1p0/CFDocuments/64734f3c-388d-4b4c-bde4-e24e8f9e7645,64734f3c-388d-4b4c-bde4-e24e8f9e7645,Indiana Academic Standards Social Studies (2023),,Indiana,Social Studies,en-US,Implemented,,2025-02-26,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
352ab5d6-78d9-5a16-9e93-d6e698146836,https://satchelcommons.com/ims/case/v1p0/CFDocuments/0b48fd18-41de-46f7-b40c-10f522b57193,0b48fd18-41de-46f7-b40c-10f522b57193,History-Social Science Content Standards for California Public Schools,,California,Social Studies,en-US,Implemented,,2023-11-19,"The California State Board of Education
has worked hard with the Academic Standards Commission to develop history–
social science standards that reflect
California’s commitment to history–social
science education. These standards emphasize historical narrative, highlight the roles
of significant individuals throughout
history, and convey the rights and obligations of citizenship.

In that spirit the standards proceed
chronologically and call attention to the
story of America as a noble experiment in a
constitutional republic. They recognize that
America’s ongoing struggle to realize the
ideals of the Declaration of Independence
and the U.S. Constitution is the struggle to
maintain our beautifully complex national
heritage of *e pluribus unum*. While the
standards emphasize Western civilizations
as the source of American political institutions, laws, and ideology, they also expect
students to analyze the changing political
relationships within and among other
countries and regions of the world, both
throughout history and within the context
of contemporary global interdependence.

The standards serve as the basis for
statewide assessments, curriculum frameworks, and instructional materials, but
methods of instructional delivery remain
the responsibility of local educators.",1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
